Drug,1,2,3,4,5,6,7,8,9,10,11,12
A,A,A,A,A,A,A,A,A,A,A,A,
B,A,A,A,A,A,A,A,A,A,A,A,
C,A,A,A,A,A,A,A,A,A,A,A,
D,A,A,A,A,A,A,A,A,A,A,A,
E,B,B,B,B,B,B,B,B,B,B,B,
F,B,B,B,B,B,B,B,B,B,B,B,
G,B,B,B,B,B,B,B,B,B,B,B,
H,B,B,B,B,B,B,B,B,B,B,B,
,,,,,,,,,,,,
Concentration,1,2,3,4,5,6,7,8,9,10,11,12
A,100,20,4,0.8,0.16,0.032,0.0064,0.00128,0.000256,0.0000512,0.00001024,0
B,100,20,4,0.8,0.16,0.032,0.0064,0.00128,0.000256,0.0000512,0.00001024,0
C,100,20,4,0.8,0.16,0.032,0.0064,0.00128,0.000256,0.0000512,0.00001024,0
D,100,20,4,0.8,0.16,0.032,0.0064,0.00128,0.000256,0.0000512,0.00001024,0
E,100,20,4,0.8,0.16,0.032,0.0064,0.00128,0.000256,0.0000512,0.00001024,0
F,100,20,4,0.8,0.16,0.032,0.0064,0.00128,0.000256,0.0000512,0.00001024,0
G,100,20,4,0.8,0.16,0.032,0.0064,0.00128,0.000256,0.0000512,0.00001024,0
H,100,20,4,0.8,0.16,0.032,0.0064,0.00128,0.000256,0.0000512,0.00001024,0
,,,,,,,,,,,,
Bacteria,1,2,3,4,5,6,7,8,9,10,11,12
A,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp
B,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica
C,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis
D,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes
E,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp,Legionella sp
F,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica,S. enterica
G,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis,M. tuberculosis
H,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes,L. monocytogenes
,,,,,,,,,,,,
Killing,1,2,3,4,5,6,7,8,9,10,11,12
A,99,99,99,99,99,61,5,2.2,1.3,0.2,0.3,0.2
B,0.4,0.2,0.1,0.5,0.3,0.2,0.1,0.1,0.5,0.5,0.3,0.4
C,37,7,2,0.3,0.2,0.4,0.6,0.1,1,0.2,0.4,0.2
D,98,95,92,41,17,2,1.5,1.8,1,0.5,0.5,0.3
E,15,8,3,1.2,1.1,0.8,1.2,0.4,0.6,0.1,0.2,0.4
F,99,33,4,0.5,0.3,0.2,0.2,0.3,0.2,0.2,0.4,0.2
G,72,21,7,1.1,0.8,1.3,0.2,1.8,1,0.2,0.4,0.2
H,98,99,99,97,98,99,98,97,65,22,8,0.5
